keyword,occurrences,normalized_occurrences,avg_length,context_entropy,collocation_strength,synthetic_context_adversity,gramm_score
im anschluss an,0,0.0,15.0,0,0.0,0,1.0
im verhältnis zu,0,0.0,16.0,0,0.0,0,1.0
im vergleich zu/im vergleich mit,0,0.0,15.5,0,0.0,0,1.0
mit bezug auf/unter bezug auf,0,0.0,14.0,0,0.0,0,1.0
mit bezugnahme auf/unter bezugnahme auf,0,0.0,19.0,0,0.0,0,1.0
vom standpunkt aus,0,0.0,18.0,0,0.0,0,1.0
zur erinnerung an,0,0.0,17.0,0,0.0,0,1.0
aus dem blickwinkel,0,0.0,19.0,0,0.0,0,1.0
zum unterschied von/zum unterschied mit,0,0.0,19.0,0,0.0,0,1.0
auf dem wege,0,0.0,12.0,0,0.0,0,1.0
auf dem feld,0,0.0,12.0,0,0.0,0,1.0
auf dem gebiet,0,0.0,14.0,0,0.0,0,1.0
auf dem sektor,0,0.0,14.0,0,0.0,0,1.0
auf dem boden,0,0.0,13.0,0,0.0,0,1.0
auf dem hintergrund/vor dem hintergrund,0,0.0,19.0,0,0.0,0,1.0
aus gründen,0,0.0,11.0,0,0.0,0,2.0
unter angabe,0,0.0,12.0,0,0.0,0,3.0
unter der leitung,0,0.0,17.0,0,0.0,0,2.0
unter den bedingungen,0,0.0,21.0,0,0.0,0,2.0
zum nutzen,0,0.0,10.0,0,0.0,0,3.0
am rande,0,0.0,8.0,0,0.0,0,3.0
auf verlangen,0,0.0,13.0,0,0.0,0,3.0
auf vorschlag,0,0.0,13.0,0,0.0,0,3.0
auf ersuchen,0,0.0,12.0,0,0.0,0,3.0
auf bitten,0,0.0,10.0,0,0.0,0,3.0
auf geheiß,0,0.0,10.0,0,0.0,0,3.0
auf veranlassung,0,0.0,16.0,0,0.0,0,3.0
auf betreiben,0,0.0,13.0,0,0.0,0,3.0
auf antrag,0,0.0,10.0,0,0.0,0,3.0
auf kosten,0,0.0,10.0,0,0.0,0,3.0
aus anlaß,0,0.0,9.0,0,0.0,0,3.0
bei gelegenheit,0,0.0,15.0,0,0.0,0,3.0
in anwesenheit,0,0.0,14.0,0,0.0,0,3.0
im zeichen,0,0.0,10.0,0,0.0,0,3.0
im beisein,0,0.0,10.0,0,0.0,0,3.0
im wege,0,0.0,7.0,0,0.0,0,3.0
zum zeitpunkt,0,0.0,13.0,0,0.0,0,3.0
zum vorteil,0,0.0,11.0,0,0.0,0,3.0
unter verwendung,0,0.0,16.0,0,0.0,0,3.0
im gefolge,0,0.0,10.0,0,0.0,0,3.0
in bezug auf/in bezug auf,0,0.0,12.0,0,0.0,0,3.0
von seiten/von seiten,0,0.0,10.0,0,0.0,0,3.0
auf seiten/auf seiten,0,0.0,10.0,0,0.0,0,3.0
von wegen,0,0.0,9.0,0,0.0,0,3.0
beim anblick,0,0.0,12.0,0,0.0,0,3.0
für rechnung,0,0.0,12.0,0,0.0,0,3.0
im licht/im lichte,0,0.0,8.5,0,0.0,0,3.0
im rahmen,0,0.0,9.0,0,0.0,0,3.0
unter mitwirkung,0,0.0,16.0,0,0.0,0,3.0
im abstand,0,0.0,10.0,0,0.0,0,3.0
im stadium,0,0.0,10.0,0,0.0,0,3.0
im bewusstsein,0,0.0,14.0,0,0.0,0,3.0
im verlauf,0,0.0,10.0,0,0.0,0,3.0
in fragen,0,0.0,9.0,0,0.0,0,3.0
unter berücksichtigung,0,0.0,22.0,0,0.0,0,3.0
unter beachtung,0,0.0,15.0,0,0.0,0,3.0
im auftrag/im auftrage,0,0.0,10.5,0,0.0,0,3.0
im zug/im zuge,0,0.0,6.5,0,0.0,0,3.0
in anbetracht,0,0.0,13.0,0,0.0,0,3.0
auf der ebene,0,0.0,13.0,0,0.0,0,2.0
zum zeichen,0,0.0,11.0,0,0.0,0,3.0
zum zweck/zum zwecke,0,0.0,9.5,0,0.0,0,3.0
zum wohl/zum wohle,0,0.0,8.5,0,0.0,0,3.0
zum schaden,0,0.0,11.0,0,0.0,0,3.0
zum nachteil,0,0.0,12.0,0,0.0,0,3.0
zu ehren,0,0.0,8.0,0,0.0,0,3.0
zum trotz,0,0.0,9.0,0,0.0,0,3.0
auf der basis,0,0.0,13.0,0,0.0,0,2.0
unter einschluß,0,0.0,15.0,0,0.0,0,3.0
auf der grundlage,0,0.0,17.0,0,0.0,0,2.0
auf der höhe,0,0.0,12.0,0,0.0,0,2.0
aus den reihen,0,0.0,14.0,0,0.0,0,2.0
aus der sicht,0,0.0,13.0,0,0.0,0,2.0
in der wahrnehmung,0,0.0,18.0,0,0.0,0,2.0
nach dem vorbild,0,0.0,16.0,0,0.0,0,2.0
nach den grundsätzen,0,0.0,20.0,0,0.0,0,2.0
unter einbeziehung,0,0.0,18.0,0,0.0,0,3.0
unter ausschluß,0,0.0,15.0,0,0.0,0,3.0
in ansehung,0,0.0,11.0,0,0.0,0,3.0
im zeitpunkt,0,0.0,12.0,0,0.0,0,3.0
in ermangelung,0,0.0,14.0,0,0.0,0,3.0
in vertretung,0,0.0,13.0,0,0.0,0,3.0
im anblick,0,0.0,10.0,0,0.0,0,3.0
im vorfeld,0,0.0,10.0,0,0.0,0,3.0
im kreise,0,0.0,9.0,0,0.0,0,3.0
im angesicht,0,0.0,12.0,0,0.0,0,3.0
im zeitalter,0,0.0,12.0,0,0.0,0,3.0
im dienst/im dienste,0,0.0,9.5,0,0.0,0,3.0
ohne angabe,0,0.0,11.0,0,0.0,0,3.0
im verlaufe,0,0.0,11.0,0,0.0,0,3.0
im lauf/im laufe,0,0.0,7.5,0,0.0,0,3.0
im geist/im geiste,0,0.0,8.5,0,0.0,0,3.0
im interesse,0,0.0,12.0,0,0.0,0,3.0
in abwesenheit,0,0.0,14.0,0,0.0,0,3.0
ohne berücksichtigung,0,0.0,21.0,0,0.0,0,3.0
ohne ansehen,0,0.0,12.0,0,0.0,0,3.0
von der dauer,0,0.0,13.0,0,0.0,0,1.0
